Comparison,Metric_A,Metric_B,Delta,CI_lower,CI_upper,p_value,B
RSF Trimodal vs RSF Clinical (C-index),C=0.6651,C=0.6560,0.0091,-0.008,0.0264,0.309,2000
RSF Trimodal vs GBSA Trimodal (C-index),C=0.6651,C=0.6583,0.0068,-0.0099,0.0233,0.434,2000
RSF Trimodal vs CoxPH Clinical (C-index),C=0.6651,C=0.6238,0.0413,0.0164,0.0668,0.001,2000
RSF Trimodal vs CoxPH Trimodal (C-index),C=0.6651,C=0.6227,0.0424,0.0163,0.0664,0.002,2000
RSF Clinical vs CoxPH Clinical (C-index),C=0.6560,C=0.6238,0.0321,0.0106,0.0548,0.004,2000
GBSA Trimodal vs CoxPH Clinical (C-index),C=0.6583,C=0.6238,0.0345,0.0094,0.0592,0.006,2000
RSF Trimodal vs AFT Trimodal (C-index),C=0.6651,C=0.3771,0.288,0.2081,0.3587,0.0,2000
RSF Trimodal vs CoxPH late fusion equal (C-index),C=0.6651,C=0.6271,0.038,0.0131,0.0626,0.003,2000
RSF Trimodal vs DeepSurv Trimodal (C-index),C=0.6651,C=0.6127,0.0524,0.0183,0.0855,0.004,2000
RSF Trimodal vs DeepSurv fusion equal (C-index),C=0.6651,C=0.6296,0.0355,0.0123,0.0586,0.003,2000
