Dataset,Model,Stage,CV_PR_AUC,Test_ROC,Test_PR,Test_F1,Test_Brier,Test_BalAcc,Model_Details
Trimodal,Voting,Ensemble,0.5045 +/- 0.0322,0.7625,0.4854,0.5,0.1566,0.6781,
Trimodal,Stacking,Ensemble,0.5008 +/- 0.0345,0.7598,0.495,0.5096,0.1997,0.695,
Trimodal,HistGB,Baseline,0.4942 +/- 0.0345,0.7592,0.4814,0.5233,0.1629,0.6956,
Clinical,RandomForest,Baseline,0.4991 +/- 0.0634,0.7565,0.4976,0.5,0.1707,0.6813,
Trimodal,RandomForest,Tuned,0.4923 +/- 0.0356,0.7546,0.4769,0.3898,0.1541,0.617,"n_estimators=700, max_depth=14, min_samples_leaf=4"
Trimodal,RandomForest,Baseline,0.4894 +/- 0.0317,0.7544,0.4982,0.4122,0.1565,0.6256,
Trimodal,XGBoost,Baseline,0.5025 +/- 0.0356,0.75,0.4817,0.4795,0.1681,0.6656,
Clinical,HistGB,Baseline,0.4561 +/- 0.0198,0.7485,0.4954,0.5445,0.1786,0.7174,
Clin+Mut,RandomForest,Baseline,0.5030 +/- 0.0317,0.7439,0.4793,0.4713,0.1815,0.6602,
Trimodal,AdaBoost,Baseline,0.4940 +/- 0.0242,0.7396,0.4818,0.3363,0.1584,0.5941,
Clinical,SVC-RBF,Baseline,0.4432 +/- 0.0231,0.731,0.4929,0.2549,0.1496,0.566,
Clinical,AdaBoost,Baseline,0.4887 +/- 0.0540,0.7299,0.4992,0.2913,0.1526,0.5801,
Clinical,SVC-RBF,Tuned,0.4758 +/- 0.0513,0.7297,0.4938,0.367,0.1486,0.6092,"C=1.0, gamma=auto"
Clin+Mut,AdaBoost,Baseline,0.4907 +/- 0.0224,0.7277,0.4991,0.3048,0.1552,0.5845,
Clinical,LogReg,Baseline,0.4792 +/- 0.0418,0.727,0.4546,0.4679,0.2077,0.6612,
Clin+Mut,HistGB,Baseline,0.4844 +/- 0.0205,0.7158,0.4732,0.5126,0.1914,0.6952,
Trimodal,SVC-RBF,Baseline,0.3605 +/- 0.0163,0.7049,0.421,0.2245,0.1573,0.5572,
Trimodal,LogReg,Baseline,0.3919 +/- 0.0281,0.681,0.3839,0.4121,0.2241,0.6156,
Clin+Mut,SVC-RBF,Baseline,0.4114 +/- 0.0177,0.6667,0.3635,0.1818,0.1651,0.5395,
Clin+Mut,LogReg,Baseline,0.3990 +/- 0.0364,0.6517,0.3694,0.3981,0.2338,0.6021,
