rank,feature,modality,mean_abs_shap
1,age_at_diagnosis,Clinical,47.25750730543766
2,nottingham_prognostic_index,Clinical,30.2811755999905
3,lymph_nodes_examined_positive,Clinical,19.197285650826387
4,type_of_breast_surgery_MASTECTOMY,Clinical,14.11516114562774
5,MRNA_PC11,mRNA PCA,11.311181834243463
6,MRNA_PC5,mRNA PCA,10.348203533209164
7,integrative_cluster_5,Clinical,6.60347842999108
8,MRNA_PC4,mRNA PCA,5.902759015642126
9,MRNA_PC2,mRNA PCA,5.677045057030714
10,MRNA_PC7,mRNA PCA,5.522808066325572
11,MRNA_PC8,mRNA PCA,5.154944628128102
12,MRNA_PC18,mRNA PCA,5.101528989188397
13,inferred_menopausal_state_Pre,Clinical,4.900031390198975
14,pam50_+_claudin-low_subtype_LumA,Clinical,4.4725961243121874
15,MRNA_PC3,mRNA PCA,3.7262210684029293
16,cohort_2,Clinical,2.1829613400523376
17,chemotherapy_YES,Clinical,1.9216247896950518
18,cohort_3,Clinical,1.805390240482117
19,MUT__TP53,Mutation,1.790665787358077
20,MRNA_PC13,mRNA PCA,1.7774118787774802
