Model,Modality,Train_C_index,Train_C_index_std,Test_C_index,Test_C_index_std,ROC_AUC_5y,ROC_AUC_5y_std,PR_AUC_5y,PR_AUC_5y_std,Evidence
RSF,Trimodal,0.8120910680103364,0.015593543865066813,0.6931815403022937,0.014930203052034232,0.7486002041520792,0.013458819506563626,0.4788838624000006,0.03444462306723289,Nested 5-fold CV
RSF,Clin+Mut,0.7582901717496178,0.015028703471707225,0.6880286877985793,0.013837516065933182,0.7366721113518653,0.016234030484141435,0.4675977899869445,0.02189228187949531,Nested 5-fold CV
GBSA,Clinical,0.7547709738701889,0.014443690059434447,0.6865935793152182,0.017467237515446103,0.734580281358039,0.022651980003075726,0.46113119826749316,0.03070061626724156,Nested 5-fold CV
RSF,Clinical,0.757955638955423,0.011945957281002114,0.6859649471413414,0.009425726845042743,0.7369565346709248,0.01797357018694596,0.4668669312827484,0.012740536640450616,Nested 5-fold CV
GBSA,Trimodal,0.7924559555010514,0.014463143952251692,0.6859611445934857,0.016685178473159874,0.7410239388882892,0.016066378997926394,0.4806051175753522,0.018554327789114852,Nested 5-fold CV
GBSA,Clin+Mut,0.7645558004641563,0.010201236286123651,0.6809549461248074,0.012830719441796784,0.7265242500522524,0.016812587039113275,0.4694954183887333,0.022313499847436427,Nested 5-fold CV
AFT_Best,Clinical,0.6923179046085555,0.0022411678591127433,0.6732793330987011,0.008744804091405415,0.7332267954191048,0.014961843861958302,0.4460623379898389,0.02751151308325267,Nested 5-fold CV
CoxPH,Clinical,0.6816787329901051,0.0028702483348746737,0.6651294743570542,0.02161885646314115,0.6928115653138829,0.021100796516290234,0.4173128619567847,0.01521454580400508,Nested 5-fold CV
DeepSurv,Clinical,0.7237896461376255,0.008193450843553846,0.6617697708746426,0.009529832402387745,0.6951905777702084,0.012788551232231335,0.3959624656387097,0.02894435331151455,Nested 5-fold CV
DeepSurv_Fusion_Weighted,Trimodal,0.7532140109957222,0.015132272302123922,0.6607557824689569,0.014483446826072624,0.698504736656455,0.012508690717314513,0.4006992183342001,0.028258207487200385,Nested 5-fold CV
