Dataset,Model,Test_ROC,Test_PR,Test_Brier,fit_s
Clinical,LogReg,0.726984126984127,0.4545620710281239,0.20772406768713544,0.1
Clinical,RandomForest,0.7565255731922399,0.49762270641865614,0.17073460910389926,3.2
Clinical,HistGB,0.7485449735449736,0.49537861759105684,0.1786054261663224,0.7
Clinical,XGBoost,0.7612433862433863,0.5032288517640342,0.17700848389099677,0.3
Clinical,LightGBM,0.7625661375661376,0.511208402480936,0.17415947491860181,0.2
Clinical,AdaBoost,0.7298500881834216,0.49919927214252324,0.15259140352868272,1.4
Clinical,SVC-RBF,0.730952380952381,0.49292751525374295,0.14959341264068418,1.1
Clin+Mut,LogReg,0.6516754850088183,0.3693770891765573,0.23382737394386635,7.7
Clin+Mut,RandomForest,0.743915343915344,0.4793301647715216,0.1815258161853342,3.3
Clin+Mut,HistGB,0.715784832451499,0.4731905497766846,0.19135654667324703,1.0
Clin+Mut,XGBoost,0.7250881834215168,0.44665024225607647,0.18636121486434834,0.6
Clin+Mut,LightGBM,0.7233245149911816,0.4693522233250299,0.18612790692052014,0.3
Clin+Mut,AdaBoost,0.727689594356261,0.4990666371596737,0.1552152489707077,2.8
Clin+Mut,SVC-RBF,0.666710758377425,0.3635066613028873,0.1650900831965638,1.7
mRNA,LogReg,0.7171516754850088,0.43351352717639513,0.21130855664724885,7.1
mRNA,RandomForest,0.715784832451499,0.3973219631281289,0.16256489665983184,16.5
mRNA,HistGB,0.6831128747795414,0.3496613745384874,0.17798838738211314,7.6
mRNA,XGBoost,0.7089506172839506,0.38172032668037004,0.17917301303289296,7.9
mRNA,LightGBM,0.7035714285714285,0.38375382538415864,0.1725131902957639,8.3
mRNA,AdaBoost,0.7074074074074075,0.38001400209355046,0.16345751467125363,16.5
mRNA,SVC-RBF,0.7088624338624339,0.4344722716915349,0.15652449320977008,8.1
Trimodal,LogReg,0.6809523809523811,0.3838574594210257,0.22410885758557003,46.3
Trimodal,RandomForest,0.7543650793650793,0.4981655351914157,0.15650197069831273,13.4
Trimodal,HistGB,0.7591710758377425,0.4813697819935347,0.16288406869056518,9.6
Trimodal,XGBoost,0.7500440917107584,0.4817421279446835,0.1680899470643555,9.4
Trimodal,LightGBM,0.7580246913580247,0.47179835269262205,0.16212643021955955,8.0
Trimodal,AdaBoost,0.7396384479717814,0.48182346881129995,0.15838061486748806,17.3
Trimodal,SVC-RBF,0.7049382716049384,0.42100223754370425,0.15731839939806438,9.7
